RefCode;Author;Year;Type;Reference;BatVouchers;FlyVouchers;AssociatedReferences;;;;;;;;;;;;;;;;;
BFR014;Barbier et al.;2019;Article;Barbier, E., G. L. Urbieta, H. Nunes, S. S. Bomfim, and P. A. Da Rocha. 2019. High Specificity and Aggregation, But Low Prevalence in Bat-Fly Interactions in an Environmental Protection Area in Brazil. Acta Chiropterologica 21:443.;Mammal Collection of the Federal University of Sergipe (CMUFS), Brazil;Entomological Collection of the Federal University of Pernambuco (CE-UFPE), Brazil.;NA;;;;;;;;;;;;;;;;;
BFR015;Bendjeddou et al;2017;Article;Bendjeddou, M. L., H. A. Loumassine, I. Scheffler, Z. Bouslama, and Z. Amr. 2017. Bat ectoparasites (Nycteribiidae, Streblidae, Siphonaptera, Heteroptera, Mesostigmata, Argasidae, and Ixodidae) from Algeria. Journal of Vector Ecology 42:13–23.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR016;Bertola et al.;2005;Article;Bertola, P. B., C. C. Aires, S. E. Favorito, G. Graciolli, M. Amaku, and R. Pinto-da-Rocha. 2005. Bat flies (Diptera: Streblidae, Nycteribiidae) parasitic on bats (Mammalia: Chiroptera) at Parque Estadual da Cantareira, São Paulo, Brazil: parasitism rates and host-parasite associations. Memórias do Instituto Oswaldo Cruz 100:25–32.;Ectoparasite collection of the Museu de Zoologia da Universidade de São Paulo (MZSP);NA;NA;;;;;;;;;;;;;;;;;
BFR017;Bezerra & Bocchiglieri;2018;Article;Bezerra, R. H. S., and A. Bocchiglieri. 2018. Association of ectoparasites (Diptera and Acari) on bats (Mammalia) in a restinga habitat in northeastern Brazil. Parasitology Research 117:3413–3420.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR018;Bezerra et al.;2016;Article;Bezerra, R. H. S., P. F. de Vasconcelos, and A. Bocchiglieri. 2016. Ectoparasites of bats (Mammalia: Chiroptera) in Atlantic forest fragments in north-eastern Brazil. Parasitology Research 115:3759–3765.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR019;Bolívar-Cimé et al.;2018;Article;Bolívar-Cimé, B., A. Cuxim-Koyoc, E. Reyes-Novelo, J. B. Morales-Malacara, J. Laborde, and R. Flores-Peredo. 2018. Habitat fragmentation and the prevalence of parasites (Diptera, Streblidae) on three Phyllostomid bat species. Biotropica 50:90–97.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR020;Brook et al.;2015;Article;Brook, C. E., Y. Bai, A. P. Dobson, L. M. Osikowicz, H. C. Ranaivoson, Q. Zhu, M. Y. Kosoy, and K. Dittmar. 2015. Bartonella spp. in Fruit Bats and Blood-Feeding Ectoparasites in Madagascar. PLOS Neglected Tropical Diseases 9:e0003532.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR021;Camilotti et al.;2010;Article;Camilotti, V., G. Graciolli, M. Weber, J. Arruda, and N. Cáceres. 2010. Bat flies from the deciduous Atlantic Forest in southern Brazil: Host-parasite relationships and parasitism rates. Acta Parasitologica 55:194–200.;NA;Coleção de Referência Zoológica da Universidade Federal do Mato Grosso do Sul (ZUFMS);NA;;;;;;;;;;;;;;;;;
BFR022;Chilton et al.;2000;Article;Chilton, G., M. J. Vonhof, B. V. Peterson, and N. Wilson. 2000. Ectoparasitic insects of bats in British Columbia, Canada. Journal of Parasitology 86:191–192.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR023;Colín-Martínez et al.;2018;Article;Colín-Martínez, H., J. B. Morales-Malacara, and C. García-Estrada. 2018. Epizoic Fauna Survey on Phyllostomid Bats (Chiroptera: Phyllostomidae) in a Shaded Coffee Plantation of Southeastern Chiapas, Mexico. Journal of Medical Entomology 55:172–182.;NA;NA;NA;;;;;;;;;;;;;;;;;
BFR024;Cordero-Schmidt et al.;2017;Article;Cordero-Schmidt, E., E. Barbier, J. C. Vargas-Mena, P. P. Oliveira, F. D. A. R. Santos, R. A. Medellín, B. R. Herrera, and E. M. Venticinque. 2017. Natural History of the Caatinga Endemic Vieira’s Flower Bat, Xeronycteris vieirai. Acta Chiropterologica 19:399–408.;Mammal Collection of the Universidade Federal do Rio Grande do Norte, Mammal Collection of the Universidade Federal de Pernambuco;NA;NA;;;;;;;;;;;;;;;;;
BFR025;Cuxim-Koyoc et al;2016;Article;Cuxim-Koyoc, A., E. Reyes-Novelo, M. C. Macswiney, and P. A. Aguilar-Rodríguez. 2016. Nuevos registros de Streblidae (Diptera: Hippoboscoidea) para México. Revista Colombiana de Entomología 42:192.;NA;Laboratorio de Zoonosis y Otras Enfermedades Transmitidas por Vector [LZOO] del Centro de Investigaciones Regionales “Dr. Hideyo Noguchi” de la Universidad Autónoma de Yucatán.;NA;;;;;;;;;;;;;;;;;
BFR026;Cuxim-Koyoc et al;2018;Article;Cuxim-Koyoc, A., E. Reyes-Novelo, M. C. MacSwiney, and J. M. Pech-Canché. 2018. Moscas ectoparásitas de murciélagos (Diptera: Streblidae y Nycteribiidae) del Valle de Uxpanapa, Veracruz, México. Revista Mexicana de Biodiversidad 89:199–205.;NA;Laboratorio de Zoonosis y Otras Enfermedades Transmitidas por Vector del Centro de Investigaciones Regionales “Hideyo Noguchi” de la Universidad Autónoma de Yucatán;NA;;;;;;;;;;;;;;;;;
BFR027;Cuxim-Koyoc et al;2015;Article;Cuxim-Koyoc, A., E. Reyes-Novelo, J. B. Morales-Malacara, B. Bolívar-Cimé, and J. Laborde. 2015. Streblidae (Diptera: Hippoboscoidea) from Yucatan and Updated Species List for Mexico. Journal of Medical Entomology 52:947–961.;NA;Laboratorio de Zoonosis y Otras Enfermedades Transmitidas por Vector del Centro de Investigaciones Regionales “Hideyo Noguchi” de la Universidad Autónoma de Yucatán;NA;;;;;;;;;;;;;;;;;
BFR028;da Silva Biz et al.;2021;Article;da Silva Biz, L., M. F. Cascaes, B. F. L. Luciano, G. Preuss, D. A. S. Bôlla, G. Graciolli, and F. Carvalho. 2021. Parasitic interactions between bats (Mammalia: Chiroptera) and flies (Insecta: Diptera) in the intersection area of temperate and tropical climates in Brazil. Studies on Neotropical Fauna and Environment 00:1–10.;Laboratório de Zoologia e Ecologia de Vertebrados (LABZEV) from the Universidade do Extremo Sul Catarinense (UNESC);Laboratório de Sistemática, Ecologia e Evolução (LSEE) of the Universidade Federal do Mato Grosso do Sul;NA;;;;;;;;;;;;;;;;;
BFR029;de Groot et al.;2020;Article;de Groot, M. D., I. Dumolein, T. Hiller, A. D. Sándor, T. Szentiványi, M. Schilthuizen, M. C. Aime, A. Verbeken, and D. Haelewaters. 2020. On the Fly: Tritrophic Associations of Bats, Bat Flies, and Fungi. Journal of Fungi 6:361.;NA;NA;;;;;;;;;;;;;;;;;;
BFR030;de Vasconcelos et al.;2016;Article;de Vasconcelos, P. F., L. A. D. Falcão, G. Graciolli, and M. A. Z. Borges. 2016. Parasite-host interactions of bat flies (Diptera: Hippoboscoidea) in Brazilian tropical dry forests. Parasitology Research 115:367–377.;NA;Laboratory of Ecology and Biological Control of Insects (LECB) of the State University of Montes Claros (Unimontes);;;;;;;;;;;;;;;;;;
BFR031;Dias et al.;2009;Article;Dias, P. A., C. L. C. dos Santos, F. S. Rodrigues, L. C. Rosa, K. S. Lobato, and J. M. M. Rebêlo. 2009. Espécies de moscas ectoparasitas (Diptera, Hippoboscoidea) de morcegos (Mammalia, Chiroptera) no estado do Maranhão. Revista Brasileira de Entomologia 53:128–133.;NA;"Coleção Universidade Federal do Maranhão e Universidade Federal do Mato
Grosso do Sul";;;;;;;;;;;;;;;;;;
BFR032;Alvarez et al.;2016;Article;Alvarez, J. D. V., I. L. Lit, P. A. Alviola, E. A. Cosico, and E. G. Eres. 2016. A contribution to the ectoparasite fauna of bats (Mammalia: Chiroptera) in Mindoro Island, Philippines: I. Blood sucking Diptera (Nycteribiidae, Streblidae) and Siphonaptera (Ischnopsyllidae). International Journal of Tropical Insect Science 36:188–194.;University of the Philippines Los Baños Museum of Natural History (UPLBMNH);the Entomological Collections, University of the Philippines Los Baños Museum of Natural History (UPLBMNH) ;;;;;;;;;;;;;;;;;;
BFR033;Dick & Gettinger;2005;Article;Dick, C. W., and D. Gettinger. 2005. A FAUNAL SURVEY OF STREBLID FLIES (DIPTERA: STREBLIDAE) ASSOCIATED WITH BATS IN PARAGUAY. Journal of Parasitology 91:1015–1024.;NA;NA;;;;;;;;;;;;;;;;;;
BFR034;Dittmar et al.;2009;Article;Dittmar, K., C. W. Dick, B. D. Patterson, M. F. Whiting, and M. E. Gruwell. 2009. Pupal Deposition and Ecology of Bat Flies (Diptera: Streblidae): Trichobius sp. (Caecus Group) in a Mexican Cave Habitat. Journal of Parasitology 95:308–314.;NA;NA;;;;;;;;;;;;;;;;;;
BFR035;do Amaral et al.;2018;Article;do Amaral, R. B., E. C. Lourenço, K. M. Famadas, A. B. Garcia, R. Z. Machado, and M. R. André. 2018. Molecular detection of Bartonella spp. and Rickettsia spp. in bat ectoparasites in Brazil. PLOS ONE 13:e0198629.;NA;NA;;;;;;;;;;;;;;;;;;
BFR036;Dornelles et al.;2017;Article;Dornelles, G. D. P., G. Graciolli, A. Odon, and M. O. Bordignon. 2017. Infracommunities of Streblidae and Nycteribiidae (Diptera) on bats in an ecotone area between Cerrado and Atlantic Forest in the state of Mato Grosso do Sul. Iheringia. Série Zoologia 107.;Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul (ZUFMS);Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul (ZUFMS);;;;;;;;;;;;;;;;;;
BFR037;Dornelles et al.;2017;Article;Dornelles, G. D. P., and G. Graciolli. 2017. Streblid bat flies on phyllostomid bats from an island off the coast of São Paulo, Brazil. Papéis Avulsos de Zoologia (São Paulo) 57:31.;NA;NA;;;;;;;;;;;;;;;;;;
BFR038;Duran et al.;2019;Article;Durán, A. A., R. A. Saldaña-Vázquez, G. Graciolli, and L. C. Peinado. 2019. Specialization and Modularity of a Bat Fly Antagonistic Ecological Network in a Dry Tropical Forest in Northern Colombia. Acta Chiropterologica 20:503.;NA;Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul (ZUFMS), Cam po Grande (Brazil) and at the Entomology Laboratory of the Sucre University (LEUS), in Sincelejo (Colombia).;;;;;;;;;;;;;;;;;;
BFR039;Eriksson et al.;2011;Article;Eriksson, A., G. Graciolli, and E. Fischer. 2011. Bat flies on phyllostomid hosts in the Cerrado region: component community, prevalence and intensity of parasitism. Memórias do Instituto Oswaldo Cruz 106:274–278.;zoological collection at the Federal University of Mato Grosso do Sul (ZUFMS);zoological collection at the Federal University of Mato Grosso do Sul (ZUFMS);;;;;;;;;;;;;;;;;;
BFR040;Esbérard et al.;2012;Article;Esbérard, C. E. L., D. Astúa, L. Geise, L. M. Costa, and L. G. Pereira. 2012. Do young Carollia perspicillata (Chiroptera: Phyllostomidae) present higher infestation rates of Streblidae (Diptera)? Brazilian journal of biology 72:617–21.;Laboratório de Diversidade de Morcegos, in Universidade Federal Rural do Rio de Janeiro.;Laboratório de Diversidade de Morcegos reference collection;;;;;;;;;;;;;;;;;;
BFR041;Esbérard et al.;2014;Article;Esbérard, C. E. L., T. C. Biavatti, W. D. Carvalho, L. de M. Costa, M. de S. Godoy, L. A. C. Gomes, J. L. Luz, A. Pol, E. P. Silva, G. K. Tato, and G. Graciolli. 2014. Trichobius longipes (Diptera, Streblidae) as a parasite of Phyllostomus hastatus(Chiroptera, Phyllostomidae). Revista Brasileira de Parasitologia Veterinária 23:315–319.;NA;reference collection of the Federal University of Mato Grosso;;;;;;;;;;;;;;;;;;
BFR042;Estrada-Peña and Serra-Cobo;1991;Article;Estrada-Peña, A., and J. Serra-Cobo. 1991. The Acarina and Nycteribidia zones of Miniopterus schreibersi Kuhl (Mammalia: Chiroptera) in the Northeast of Spain. Folia Parasitologica 38:345–354.;NA;NA;;;;;;;;;;;;;;;;;;
BFR043;Estrada-Villegas et al.;2018;Article;Estrada-Villegas, S., T. K. Halczok, M. Tschapka, R. A. Page, S. D. Brändel, and T. Hiller. 2018. Bats and their Bat Flies: Community Composition and Host Specificity on a Pacific Island Archipelago. Acta Chiropterologica 20:161–176.;NA;NA;;;;;;;;;;;;;;;;;;
BFR044;Fagundes et al.;2017;Article;Fagundes, R., Y. Antonini, and L. M. S. Aguiar. 2017. Overlap in cave usage and period of activity as factors structuring the interactions between bats and ectoparasites. Zoological Studies 56.;NA;NA;;;;;;;;;;;;;;;;;;
BFR045;Archer & Cardinal;2001;Article;Archer, M. S., and B. R. Cardinal. 2001. Seasonal reproduction and host infestation rates for nycteribiids of the large bentwing bat. Medical and Veterinary Entomology 15:452–454.;NA;NA;;;;;;;;;;;;;;;;;;
BFR046;França et al.;2013;Article;França, D., S. Pereira, A. Maas, M. Martins, D. Bolzan, I. Lima, D. Dias, and A. Peracchi. 2013. Ectoparasitic flies (Diptera, Streblidae) of bats (Chiroptera, Phyllostomidae) in an Atlantic Forest area, southeastern Brazil. Brazilian Journal of Biology 73:847–854.;Adriano Lúcio Peracchi Collection (ALP), in the Institute of Biology, Universidade Federal Rural do Rio de Janeiro (UFRRJ);Adriano Lúcio Peracchi Collection (ALP), in the Institute of Biology, Universidade Federal Rural do Rio de Janeiro (UFRRJ);;;;;;;;;;;;;;;;;;
BFR047;Frank et al.;2016;Article;Frank, H. K., C. D. Mendenhall, S. D. Judson, G. C. Daily, and E. A. Hadly. 2016. Anthropogenic impacts on Costa Rican bat parasitism are sex specific. Ecology and Evolution 6:4898–4909.;NA;NA;;;;;;;;;;;;;;;;;;
BFR048;Graciolli & Bianconi;2007;Article;Graciolli, G., and G. V. Bianconi. 2007. Moscas ectoparasitas (Diptera, Streblidae e Nycteribiidae) em morcegos (Mammalia, Chiroptera) em área de Floresta com Araucária no Estado do Paraná, sul do Brasil. Revista Brasileira de Zoologia 24:246–249.;NA;NA;;;;;;;;;;;;;;;;;;
BFR049;Graciolli & Dick;2012;Article;"Graciolli, G., and C. W. Dick. 2012. Description of a second species of Joblingia Dybas &amp; Wenzel, 1947 (Diptera: Streblidae). Systematic Parasitology 81:187–193.";NA;" MZSP, Museu de Zoologia da Universidade de São Paulo, São Paulo, Brasil; DZUP, Coleção de Entomologia Padre Jesus Santiago Moure, Curitiba, Brasil.";;;;;;;;;;;;;;;;;;
BFR050;Graciolli & Dick;2009;Article;Graciolli, G., and C. W. Dick. 2009. A new species of Basilia Miranda-Ribeiro (Diptera: Nycteribiidae) from Honduras, parasite of Bauerus dubiaquercus (Van Gelder) (Chiroptera: Vespertilionidae: Antrozoinae). Zootaxa 1972:59–64.;NA;Carnegie Museum of Natural History, Pittsburg, Pennsylvania, USA (CM);;;;;;;;;;;;;;;;;;
BFR051;Graciolli et al.;2019;Article;Graciolli, G., R. Guerrero, and F. Catzeflis. 2019. Streblid bat flies (Diptera) and other ectoparasites on bats (Mammalia: Chiroptera) from French Guiana. Biota Neotropica 19.;Museum d’Histoire Naturelle de Genève (MHNG);Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul, Campo Grande (Brazil), Colección de Parasitología del Museo de Ciencias de la Universidad Central de Venezuela (MBUCV) and also at Institut des Sciences de l’Evolution, Université de Montpellier (France);;;;;;;;;;;;;;;;;;
BFR052;Graciolli et al.;2006;Article;Graciolli, G., F. C. Passos, W. A. Pedro, and B. K. Lim. 2006. Moscas ectoparasitas (Diptera, Streblidae) de morcegos filostomídeos (Mammalia, Chiroptera) na Estação Ecológica dos Caetetus, São Paulo, Brasil. Revista Brasileira de Zoologia 23:298–299.;NA;Coleção de Entomologia Padre Jesus Santiago Moure do Departamento de Zoologia, Universidade Federal do Paraná, Curitiba.;"Pedro, W.A., Passos F.C. & B.K Lim. 2001. Morcegos (Chiroptera; Mammalia) da Estação Ecológica dos Caetetus, Estado de São Paulo. Chiroptera Neotropical, Brasília, 7: 136-140";;;;;;;;;;;;;;;;;
BFR053;Graciolli et al.;2010;Article;Graciolli, G., M. Zortéa, and L. F. A. da C. Carvalho. 2010. Bat flies (Diptera, Streblidae and Nycteribiidae) in a Cerrado area of Goiás State, Brazil. Revista Brasileira de Entomologia 54:511–514.;NA;NA;;;;;;;;;;;;;;;;;;
BFR054;Guzman et al.;2003;Article;Guzmán-Cornejo, C., L. García-Prieto, G. Pérez-Ponce De León, and J. B. Morales-Malacara. 2003. Parasites of Tadarida brasiliensis mexicana (Chiroptera: Molossidae) from Arid Regions of Mexico. Comparative Parasitology 70:11–25.;NA;NA;;;;;;;;;;;;;;;;;;
BFR055;Haelewaters et al.;2017;Article;Haelewaters, D., W. P. Pfliegler, T. Szentiványi, M. Földvári, A. D. Sándor, L. Barti, J. J. Camacho, G. Gort, P. Estók, T. Hiller, C. W. Dick, and D. H. Pfister. 2017. Parasites of parasites of bats: Laboulbeniales (Fungi: Ascomycota) on bat flies (Diptera: Nycteribiidae) in central Europe. Parasites & Vectors 10:96.;NA;Eszterházy Károly University (Hungary);Sándor, A. D., M. Földvári, A. I. Krawczyk, H. Sprong, A. Corduneanu, L. Barti, T. Görföl, P. Estók, D. Kováts, S. Szekeres, Z. László, S. Hornok, and G. Földvári. 2018. Eco-epidemiology of Novel Bartonella Genotypes from Parasitic Flies of Insectivorous Bats. Microbial Ecology 76:1076–1088. Szentiványi, T., P. Estók, and M. Földvári. 2016. Checklist of host associations of European bat flies (Diptera: Nycteribiidae, Streblidae). Zootaxa 4205:101. Szentiványi, T., O. Vincze, and P. Estók. 2017. Density-dependent sex ratio and sex-specific preference for host traits in parasitic bat flies. Parasites & Vectors 10:405.;;;;;;;;;;;;;;;;;
BFR056;Hernandez-Arciga et al.;2016;Article;Hernández-Arciga, U., L. G. Herrera M., and J. B. Morales-Malacara. 2016. Tracking host use by bat ectoparasites with stable isotope analysis. Canadian Journal of Zoology 94:353–360.;NA;NA;;;;;;;;;;;;;;;;;;
BFR057;Hernandez-Martínez et al.;2019;Article;Hernández-Martínez, J., J. B. Morales-Malacara, M. Y. Alvarez-Añorve, S. Amador-Hernández, K. Oyama, and L. D. Avila-Cabadilla. 2019. Drivers potentially influencing host–bat fly interactions in anthropogenic neotropical landscapes at different spatial scales. Parasitology 146:74–88.;NA;Collection of the National School of Higher Education, UNAM campus Morelia (90%) and at the Morales-Malacara Collection (10%) housed at the Laboratory of Speleobiology and Acarology of the Faculty of Sciences campus Juriquilla, UNAM.;;;;;;;;;;;;;;;;;;
BFR058;Billeter et al.;2012;Article;Billeter, S. A., Hayman, D. T. S., Peel, A. J., Baker, K., Wood, J. L. N. Wood, Cunningham, A., Suu-Ire, R., Dittmar, K., and Kosoy, M. Y. (2012). Bartonella species in bat flies (Diptera: Nycteribiidae) from western Africa. Parasitoloy 139: 324-329. https://doi.org/10.1017/S0031182011002113;NA;NA;;;;;;;;;;;;;;;;;;
BFR059;Dittmar et al.;2011;Article;"Dittmar, K., Morse, S., Gruwell, M., Mayberry, J., DiBlasi, E. (2011) Spatial and Temporal Complexities of Reproductive Behavior and Sex Ratios: A Case from
Parasitic Insects. PLoS ONE 6(5): e19438. https://doi.org/10.1371/journal.pone.0019438";NA;NA;;;;;;;;;;;;;;;;;;
BFR060;Hiller et al.;2021;Article;Hiller, T., M. G. R. Vollstädt, S. D. Brändel, R. A. Page, and M. Tschapka. 2021. Bat–bat fly interactions in Central Panama: host traits relate to modularity in a highly specialised network. Insect Conservation and Diversity 14:686–699.;NA;NA;1. Hiller, T., B. Honner, R. A. Page, and M. Tschapka. 2018. Leg structure explains host site preference in bat flies (Diptera: Streblidae) parasitizing neotropical bats (Chiroptera: Phyllostomidae). Parasitology 145:1475–1482.Hiller, T., B. Honner, R. A. Page, and M. Tschapka. 2018. Leg structure explains host site preference in bat flies (Diptera: Streblidae) parasitizing neotropical bats (Chiroptera: Phyllostomidae). Parasitology 145:1475–1482. 2. Hiller, T., S. D. Brändel, B. Honner, R. A. Page, and M. Tschapka. 2020. Parasitization of bats by bat flies (Streblidae) in fragmented habitats. Biotropica 52:488–501.;;;;;;;;;;;;;;;;;
BFR061;Holz et al.;2018;Article;Holz, P. H., L. F. Lumsden, and J. Hufschmid. 2018. Ectoparasites are unlikely to be a primary cause of population declines of bent-winged bats in south-eastern Australia. International Journal for Parasitology: Parasites and Wildlife 7:423–428.;NA;NA;;;;;;;;;;;;;;;;;;
BFR062;Hosokawa et al.;2012;Article;Hosokawa, T., N. Nikoh, R. Koga, M. Satô, M. Tanahashi, X.-Y. Meng, and T. Fukatsu. 2012. Reductive genome evolution, host–symbiont co-speciation and uterine transmission of endosymbiotic bacteria in bat flies. The ISME Journal 6:577–587.;NA;NA;;;;;;;;;;;;;;;;;;
BFR063;Hrycyna et al;2019;Article;Hrycyna, G., A. C. M. Martins, and G. Graciolli. 2019. Infracommunities of bat flies (Diptera: Streblidae and Nycteribiidae) of bats (Mammalia: Chiroptera) in three conservation units in the State of Amapá, Brazil. Biota Neotropica 19.;NA;Coleção Zoológica de Referência, Universidade Federal do Mato Grosso do Sul, Campo Grande;"MARTINS, A.C.M., BERNARD, E. GREGORIN, R. 2006. Inventários biológicos rápido de morcegos (Mammalia, Chiroptera) em três unidades de conservação do Amapá, Brasil. Rev. Bras. Zool. 23:1175-1184.
MARTINS, A.C.M., BERNARD, E. GEGORIN, R. WANUYZE, A.S.S. 2011. Filling data gaps on the diversity and distribution of Amazonian bats (Chiroptera): The case of Amapá, easternmost Brazil. Zoologia. 28: 177-185.";;;;;;;;;;;;;;;;;
BFR064;Jensen et al.;2019;Article;Jensen, K. M., L. Rodrigues, T. Pape, A. Garm, S. Santamaria, and A. S. P. S. Reboleira. 2019. Hyperparasitism in caves: Bats, bat flies and ectoparasitic fungus interaction. Journal of Invertebrate Pathology 166:107206.;NA;collection of the Natural History Museum of Denmark (NHMD);;;;;;;;;;;;;;;;;;
BFR065;Judson et al.;2015;Article;Judson, S. D., H. K. Frank, and E. A. Hadly. 2015. Bartonellae are Prevalent and Diverse in Costa Rican Bats and Bat Flies. Zoonoses and Public Health 62:609–617.;NA;NA;;;;;;;;;;;;;;;;;;
