FlyPopulationCode;RefCode;SiteCode;FlyFamily;FlyGenus;FlySpecies;FlySubspecies;CurrentFlySpecies;FlyCaptureNumber;FlyFemales;FlyMales;FlyUndetermined;
BFFPOP1420;BFR060;BFA281;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;299;NA;NA;299;
BFFPOP1421;BFR060;BFA281;Streblidae;Trichobius;Trichobius anducei;;Trichobius anducei;24;NA;NA;24;
BFFPOP1422;BFR060;BFA281;Streblidae;Neotrichobius;Neotrichobius stenopterus;;Neotrichobius stenopterus;47;NA;NA;47;
BFFPOP1423;BFR060;BFA281;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;53;NA;NA;53;
BFFPOP1424;BFR060;BFA281;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;52;NA;NA;52;
BFFPOP1425;BFR060;BFA281;Streblidae;Strebla;Strebla diaemi;;Strebla diaemi;12;NA;NA;12;
BFFPOP1426;BFR060;BFA281;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;26;NA;NA;26;
BFFPOP1427;BFR060;BFA281;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;18;NA;NA;18;
BFFPOP1428;BFR060;BFA281;;Eldunnia;Eldunnia breviceps;;Eldunnia breviceps;6;NA;NA;6;
BFFPOP1429;BFR060;BFA281;Streblidae;Trichobius;Trichobius lonchophyllae;;Trichobius lonchophyllae;6;NA;NA;6;
BFFPOP1430;BFR060;BFA281;Streblidae;Strebla;Strebla altmani;;Strebla altmani;52;NA;NA;52;
BFFPOP1431;BFR060;BFA281;Streblidae;Pseudostrebla;Pseudostrebla ribeiroi;;Pseudostrebla ribeiroi;4;NA;NA;4;
BFFPOP1432;BFR060;BFA281;Streblidae;Strebla;Strebla ohlsi;;Strebla kohlsi;11;NA;NA;11;
BFFPOP1433;BFR060;BFA281;Streblidae;Trichobius;Trichobius silvicolae;;Trichobius silvicolae;16;NA;NA;16;
BFFPOP1434;BFR060;BFA281;Streblidae;Trichobius;Trichobius macrophylli;;Trichobius macrophylli;16;NA;NA;16;
BFFPOP1435;BFR060;BFA281;Streblidae;Strebla;Strebla alvarezi;;Strebla alvarezi;2;NA;NA;2;
BFFPOP1436;BFR060;BFA281;Nycteribiidae;Basilia;Basilia tiptoni;;Basilia tiptoni;35;NA;NA;35;
BFFPOP1437;BFR060;BFA281;Streblidae;Strebla;Strebla christinae;;Strebla christinae;65;NA;NA;65;
BFFPOP1438;BFR060;BFA281;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;34;NA;NA;34;
BFFPOP1439;BFR060;BFA281;Streblidae;Trichobioides;Trichobioides perspicillatus;;Trichobioides perspicillatus;99;NA;NA;99;
BFFPOP1440;BFR060;BFA281;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;96;NA;NA;96;
BFFPOP1441;BFR060;BFA281;Streblidae;Strebla;Strebla mirabilis;;Strebla mirabilis;59;NA;NA;59;
BFFPOP1442;BFR060;BFA281;Streblidae;Trichobius;Trichobius longipes;;Trichobius longipes;89;NA;NA;89;
BFFPOP1443;BFR060;BFA281;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;153;NA;NA;153;
BFFPOP1444;BFR060;BFA281;Streblidae;Trichobius;Trichobius new sp.;;Trichobius new sp.;8;NA;NA;8;
BFFPOP1445;BFR060;BFA281;Streblidae;Trichobius;Trichobius dugesioides;;Trichobius dugesioides;339;NA;NA;339;
BFFPOP1446;BFR060;BFA281;Streblidae;Parastrebla;Parastrebla handleyi;;Parastrebla handleyi;22;NA;NA;22;
BFFPOP1447;BFR060;BFA281;Streblidae;Strebla;Strebla obtusa;;Strebla obtusa;5;NA;NA;5;
BFFPOP1448;BFR060;BFA281;Streblidae;Paratrichobius;Paratrichobius dunni;;Paratrichobius dunni;96;NA;NA;96;
BFFPOP1449;BFR060;BFA281;Streblidae;Trichobius;Trichobius urodermae;;Trichobius urodermae;28;NA;NA;28;
BFFPOP1450;BFR060;BFA281;Streblidae;Paratrichobius;Paratrichobius salvini complex sp;;Paratrichobius salvini complex sp;1;NA;NA;1;
BFFPOP1451;BFR060;BFA281;Nycteribiidae;Basilia;Basilia anceps;;Basilia anceps;12;NA;NA;12;
BFFPOP1452;BFR060;BFA281;Nycteribiidae;Basilia;Basilia sp.;;Basilia sp.;10;NA;NA;10;
BFFPOP1453;BFR060;BFA281;Nycteribiidae;Basilia;Basilia ferrisi;;Basilia ferrisi;3;NA;NA;3;
BFFPOP1454;BFR061;BFA282;;Penicillidia;Penicillidia tectisentis;;Penicillidia tectisentis;6;NA;NA;6;
BFFPOP1455;BFR061;BFA282;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;13;NA;NA;13;
BFFPOP1456;BFR061;BFA283;;Penicillidia;Penicillidia tectisentis;;Penicillidia tectisentis;18;NA;NA;18;
BFFPOP1457;BFR061;BFA283;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;7;NA;NA;7;
BFFPOP1458;BFR061;BFA284;;Penicillidia;Penicillidia tectisentis;;Penicillidia tectisentis;27;NA;NA;27;
BFFPOP1459;BFR061;BFA284;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;32;NA;NA;32;
BFFPOP1460;BFR061;BFA285;;Penicillidia;Penicillidia tectisentis;;Penicillidia tectisentis;64;NA;NA;64;
BFFPOP1461;BFR061;BFA285;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;40;NA;NA;40;
BFFPOP1462;BFR061;BFA286;;Penicillidia;Penicillidia oceanica;;Penicillidia oceanica;14;NA;NA;14;
BFFPOP1463;BFR061;BFA287;;Penicillidia;Penicillidia oceanica;;Penicillidia oceanica;15;NA;NA;15;
BFFPOP1464;BFR061;BFA287;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;3;NA;NA;3;
BFFPOP1465;BFR061;BFA288;;Penicillidia;Penicillidia oceanica;;Penicillidia oceanica;18;NA;NA;18;
BFFPOP1466;BFR061;BFA288;Nycteribiidae;Nycteribia;Nycteribia parilis vicaria;;Nycteribia parilis vicaria;16;NA;NA;16;
BFFPOP1467;BFR062;BFA289;Nycteribiidae;Nycteribia;Nycteribia allotopa;;Nycteribia allotopa;NA;NA;NA;NA;
BFFPOP1468;BFR062;BFA289;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;NA;NA;NA;NA;
BFFPOP1469;BFR062;BFA290;Nycteribiidae;Basilia;Basilia rybini;;Basilia rybini;NA;NA;NA;NA;
BFFPOP1470;BFR062;BFA290;Nycteribiidae;Nycteribia;Nycteribia pleuralis;;Nycteribia pleuralis;NA;NA;NA;NA;
BFFPOP1471;BFR062;BFA291;Nycteribiidae;Basilia;Basilia truncata;;Basilia truncata;NA;NA;NA;NA;
BFFPOP1472;BFR062;BFA292;Nycteribiidae;Nycteribia;Nycteribia pleuralis;;Nycteribia pleuralis;NA;NA;NA;NA;
BFFPOP1473;BFR062;BFA292;;Penicillidia;Penicillidia monoceros;;Penicillidia monoceros;NA;NA;NA;NA;
BFFPOP1474;BFR062;BFA293;Nycteribiidae;Nycteribia;Nycteribia pleuralis;;Nycteribia pleuralis;NA;NA;NA;NA;
BFFPOP1475;BFR062;BFA294;Nycteribiidae;Basilia;Basilia truncata;;Basilia truncata;NA;NA;NA;NA;
BFFPOP1476;BFR062;BFA295;Nycteribiidae;Basilia;Basilia truncata;;Basilia truncata;NA;NA;NA;NA;
BFFPOP1477;BFR062;BFA296;Nycteribiidae;Nycteribia;Nycteribia pygmaea;;Nycteribia pygmaea;NA;NA;NA;NA;
BFFPOP1478;BFR062;BFA296;;Penicillidia;Penicillidia monoceros;;Penicillidia monoceros;NA;NA;NA;NA;
BFFPOP1479;BFR062;BFA297;Nycteribiidae;Basilia;Basilia truncata;;Basilia truncata;NA;NA;NA;NA;
BFFPOP1480;BFR062;BFA298;Nycteribiidae;Basilia;Basilia truncata;;Basilia truncata;NA;NA;NA;NA;
BFFPOP1481;BFR062;BFA299;Nycteribiidae;Nycteribia;Nycteribia allotopa;;Nycteribia allotopa;NA;NA;NA;NA;
BFFPOP1482;BFR062;BFA299;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;NA;NA;NA;NA;
BFFPOP1483;BFR062;BFA300;Nycteribiidae;Nycteribia;Nycteribia pleuralis;;Nycteribia pleuralis;NA;NA;NA;NA;
BFFPOP1484;BFR062;BFA300;Nycteribiidae;Nycteribia;Nycteribia pygmaea;;Nycteribia pygmaea;NA;NA;NA;NA;
BFFPOP1485;BFR062;BFA301;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;NA;NA;NA;NA;
BFFPOP1486;BFR062;BFA302;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;NA;NA;NA;NA;
BFFPOP1487;BFR062;BFA303;Nycteribiidae;Phthiridium;Phthiridium hindlei;;Phthiridium hindlei;NA;NA;NA;NA;
BFFPOP1488;BFR062;BFA304;Nycteribiidae;Nycteribia;Nycteribia allotopa;;Nycteribia allotopa;NA;NA;NA;NA;
BFFPOP1489;BFR062;BFA305;Nycteribiidae;Nycteribia;Nycteribia allotopa;;Nycteribia allotopa;NA;NA;NA;NA;
BFFPOP1490;BFR062;BFA306;Nycteribiidae;Phthiridium;Phthiridium hindlei;;Phthiridium hindlei;NA;NA;NA;NA;
BFFPOP1491;BFR062;BFA307;Nycteribiidae;Nycteribia;Nycteribia allotopa;;Nycteribia allotopa;NA;NA;NA;NA;
BFFPOP1492;BFR062;BFA307;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;NA;NA;NA;NA;
BFFPOP1493;BFR062;BFA308;Nycteribiidae;Nycteribia;Nycteribia pleuralis;;Nycteribia pleuralis;NA;NA;NA;NA;
BFFPOP1494;BFR063;BFA309;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;19;NA;NA;19;
BFFPOP1495;BFR063;BFA309;Streblidae;Trichobius;Trichobius caecus;;Trichobius caecus;12;NA;NA;12;
BFFPOP1496;BFR063;BFA309;Streblidae;Nycterophilia;Nycterophilia parnelli;;Nycterophilia parnelli;4;NA;NA;4;
BFFPOP1497;BFR063;BFA309;Streblidae;Anastrebla;Anastrebla modestini;;Anastrebla modestini;1;NA;NA;1;
BFFPOP1498;BFR063;BFA309;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;7;NA;NA;7;
BFFPOP1499;BFR063;BFA309;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;3;NA;NA;3;
BFFPOP1500;BFR063;BFA309;Streblidae;Speiseria;Speiseria peytonae;;Speiseria peytonae;1;NA;NA;1;
BFFPOP1501;BFR063;BFA309;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;4;NA;NA;4;
BFFPOP1502;BFR063;BFA309;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;4;NA;NA;4;
BFFPOP1503;BFR063;BFA309;Streblidae;Strebla;Strebla chrotopteri;;Strebla chrotopteri;1;NA;NA;1;
BFFPOP1504;BFR063;BFA309;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;2;NA;NA;2;
BFFPOP1505;BFR063;BFA309;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;1;NA;NA;1;
BFFPOP1506;BFR063;BFA309;Streblidae;Trichobius;Trichobius lonchophyllae;;Trichobius lonchophyllae;26;NA;NA;26;
BFFPOP1507;BFR063;BFA309;Streblidae;Anastrebla;Anastrebla sp.;;Anastrebla sp.;2;NA;NA;2;
BFFPOP1508;BFR063;BFA309;Streblidae;Trichobius;Trichobius sp. (group dugesii);;Trichobius sp. (group dugesii);1;NA;NA;1;
BFFPOP1509;BFR063;BFA309;Streblidae;Trichobius;Trichobius lionycteridis;;Trichobius lionycteridis;1;NA;NA;1;
BFFPOP1510;BFR063;BFA309;Streblidae;Trichobius;Trichobius dugesioides;dugesioides;Trichobius dugesioides dugesioides;49;NA;NA;49;
BFFPOP1511;BFR063;BFA309;Nycteribiidae;Basilia;Basilia mimoni;;Basilia mimoni;2;NA;NA;2;
BFFPOP1512;BFR063;BFA309;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;3;NA;NA;3;
BFFPOP1513;BFR063;BFA309;Streblidae;Strebla;Strebla consocia;;Strebla consocia;9;NA;NA;9;
BFFPOP1514;BFR063;BFA309;Streblidae;Trichobius;Trichobius dugesioides;phyllostomus;Trichobius dugesioides phyllostomus;3;NA;NA;3;
BFFPOP1515;BFR063;BFA309;Streblidae;Trichobius;Trichobius longipes;;Trichobius longipes;1;NA;NA;1;
BFFPOP1516;BFR063;BFA309;Streblidae;Neotrichobius;Neotrichobius delicatus;;Neotrichobius delicatus;1;NA;NA;1;
BFFPOP1517;BFR063;BFA309;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;5;NA;NA;5;
BFFPOP1518;BFR063;BFA309;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;8;NA;NA;8;
BFFPOP1519;BFR063;BFA309;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;5;NA;NA;5;
BFFPOP1520;BFR063;BFA309;Streblidae;Strebla;Strebla mirabilis;;Strebla mirabilis;2;NA;NA;2;
BFFPOP1521;BFR063;BFA309;Streblidae;Speiseria;Speiseria magnioculus;;Speiseria magnioculus;3;NA;NA;3;
BFFPOP1522;BFR063;BFA309;Streblidae;Strebla;Strebla alvarezi;;Strebla alvarezi;1;NA;NA;1;
BFFPOP1523;BFR063;BFA309;Streblidae;Strebla;Strebla obtusa;;Strebla obtusa;18;NA;NA;18;
BFFPOP1524;BFR063;BFA309;Streblidae;Parastrebla;Parastrebla handleyi;;Parastrebla handleyi;3;NA;NA;3;
BFFPOP1525;BFR063;BFA310;Streblidae;Strebla;Strebla asternalis;;Strebla asternalis;2;NA;NA;2;
BFFPOP1526;BFR063;BFA310;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;19;NA;NA;19;
BFFPOP1527;BFR063;BFA310;Streblidae;Trichobius;Trichobius caecus;;Trichobius caecus;12;NA;NA;12;
BFFPOP1528;BFR063;BFA310;Streblidae;Nycterophilia;Nycterophilia parnelli;;Nycterophilia parnelli;2;NA;NA;2;
BFFPOP1529;BFR063;BFA310;Streblidae;Noctiliostrebla;Noctiliostrebla aitkeni;;Noctiliostrebla aitkeni;18;NA;NA;18;
BFFPOP1530;BFR063;BFA310;Streblidae;Paradyschiria;Paradyschiria lineata;;Paradyschiria lineata;8;NA;NA;8;
BFFPOP1531;BFR063;BFA310;Streblidae;Strebla;Strebla curvata;;Strebla curvata;1;NA;NA;1;
BFFPOP1532;BFR063;BFA310;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;NA;NA;1;
BFFPOP1533;BFR063;BFA310;Streblidae;Trichobius;Trichobius tiptoni;;Trichobius tiptoni;1;NA;NA;1;
BFFPOP1534;BFR063;BFA310;Streblidae;Neotrichobius;Neotrichobius bisetosus;;Neotrichobius bisetosus;1;NA;NA;1;
BFFPOP1535;BFR063;BFA310;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;15;NA;NA;15;
BFFPOP1536;BFR063;BFA310;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;23;NA;NA;23;
BFFPOP1537;BFR063;BFA310;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;2;NA;NA;2;
BFFPOP1538;BFR063;BFA310;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;NA;NA;1;
BFFPOP1539;BFR063;BFA310;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;4;NA;NA;4;
BFFPOP1540;BFR063;BFA310;Streblidae;Strebla;Strebla chrotopteri;;Strebla chrotopteri;14;NA;NA;14;
BFFPOP1541;BFR063;BFA310;Streblidae;Trichobius;Trichobius dugesioides;dugesioides;Trichobius dugesioides dugesioides;74;NA;NA;74;
BFFPOP1542;BFR063;BFA310;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;16;NA;NA;16;
BFFPOP1543;BFR063;BFA310;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;8;NA;NA;8;
BFFPOP1544;BFR063;BFA310;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;2;NA;NA;2;
BFFPOP1545;BFR063;BFA310;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;3;NA;NA;3;
BFFPOP1546;BFR063;BFA310;Streblidae;Strebla;Strebla harderi;;Strebla harderi;1;NA;NA;1;
BFFPOP1547;BFR063;BFA310;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;30;NA;NA;30;
BFFPOP1548;BFR063;BFA310;Streblidae;Trichobius;Trichobius silvicolae;;Trichobius silvicolae;14;NA;NA;14;
BFFPOP1549;BFR063;BFA310;Streblidae;Pseudostrebla;Pseudostrebla ribeiroi;;Pseudostrebla ribeiroi;1;NA;NA;1;
BFFPOP1550;BFR063;BFA310;Nycteribiidae;Basilia;Basilia mimoni;;Basilia mimoni;13;NA;NA;13;
BFFPOP1551;BFR063;BFA310;Streblidae;Strebla;Strebla christinae;;Strebla christinae;2;NA;NA;2;
BFFPOP1552;BFR063;BFA310;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;31;NA;NA;31;
BFFPOP1553;BFR063;BFA310;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;69;NA;NA;69;
BFFPOP1554;BFR063;BFA310;Streblidae;Trichobioides;Trichobioides perspicillatus;;Trichobioides perspicillatus;7;NA;NA;7;
BFFPOP1555;BFR063;BFA310;Streblidae;Strebla;Strebla consocia;;Strebla consocia;38;NA;NA;38;
BFFPOP1556;BFR063;BFA310;Streblidae;Trichobius;Trichobius dugesioides;phyllostomus;Trichobius dugesioides phyllostomus;76;NA;NA;76;
BFFPOP1557;BFR063;BFA310;Streblidae;Trichobius;Trichobius longipes;;Trichobius longipes;17;NA;NA;17;
BFFPOP1558;BFR063;BFA310;Streblidae;Trichobius;Trichobius sp. parasiticus complex;;Trichobius sp. parasiticus complex;10;NA;NA;10;
BFFPOP1559;BFR063;BFA310;Streblidae;Neotrichobius;Neotrichobius delicatus;;Neotrichobius delicatus;2;NA;NA;2;
BFFPOP1560;BFR063;BFA310;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;NA;NA;1;
BFFPOP1561;BFR063;BFA310;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;3;NA;NA;3;
BFFPOP1562;BFR063;BFA310;Streblidae;Strebla;Strebla mirabilis;;Strebla mirabilis;1;NA;NA;1;
BFFPOP1563;BFR063;BFA310;Streblidae;Speiseria;Speiseria magnioculus;;Speiseria magnioculus;9;NA;NA;9;
BFFPOP1564;BFR063;BFA310;Streblidae;Strebla;Strebla obtusa;;Strebla obtusa;2;NA;NA;2;
BFFPOP1565;BFR063;BFA310;Nycteribiidae;Basilia;Basilia dunni;;Basilia dunni;14;NA;NA;14;
BFFPOP1566;BFR063;BFA310;Nycteribiidae;Basilia;Basilia anceps;;Basilia anceps;3;NA;NA;3;
BFFPOP1567;BFR063;BFA311;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;7;NA;NA;7;
BFFPOP1568;BFR063;BFA311;Streblidae;Trichobius;Trichobius caecus;;Trichobius caecus;54;NA;NA;54;
BFFPOP1569;BFR063;BFA311;Streblidae;Nycterophilia;Nycterophilia parnelli;;Nycterophilia parnelli;6;NA;NA;6;
BFFPOP1570;BFR063;BFA311;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;57;NA;NA;57;
BFFPOP1571;BFR063;BFA311;Streblidae;Neotrichobius;Neotrichobius delicatus;;Neotrichobius delicatus;4;NA;NA;4;
BFFPOP1572;BFR063;BFA311;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;3;NA;NA;3;
BFFPOP1573;BFR063;BFA311;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;2;NA;NA;2;
BFFPOP1574;BFR063;BFA311;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;7;NA;NA;7;
BFFPOP1575;BFR063;BFA311;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;1;NA;NA;1;
BFFPOP1576;BFR063;BFA311;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;NA;NA;1;
BFFPOP1577;BFR063;BFA311;Streblidae;Strebla;Strebla chrotopteri;;Strebla chrotopteri;3;NA;NA;3;
BFFPOP1578;BFR063;BFA311;Streblidae;Trichobius;Trichobius dugesioides;dugesioides;Trichobius dugesioides dugesioides;21;NA;NA;21;
BFFPOP1579;BFR063;BFA311;Streblidae;Strebla;Strebla obtusa;;Strebla obtusa;5;NA;NA;5;
BFFPOP1580;BFR063;BFA311;Streblidae;Trichobius;Trichobius lionycteridis;;Trichobius lionycteridis;2;NA;NA;2;
BFFPOP1581;BFR063;BFA311;Streblidae;Trichobius;Trichobius silvicolae;;Trichobius silvicolae;3;NA;NA;3;
BFFPOP1582;BFR063;BFA311;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;1;NA;NA;1;
BFFPOP1583;BFR063;BFA311;Streblidae;Strebla;Strebla matsoni;;Strebla matsoni;1;NA;NA;1;
BFFPOP1584;BFR063;BFA311;Streblidae;Trichobius;Trichobius macrophylli;;Trichobius macrophylli;8;NA;NA;8;
BFFPOP1585;BFR063;BFA311;Streblidae;Strebla;Strebla hoogstraali;;Strebla hoogstraali;6;NA;NA;6;
BFFPOP1586;BFR063;BFA311;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;3;NA;NA;3;
BFFPOP1587;BFR063;BFA311;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;31;NA;NA;31;
BFFPOP1588;BFR063;BFA311;Streblidae;Trichobius;Trichobius perspicillatus;;Trichobius perspicillatus;4;NA;NA;4;
BFFPOP1589;BFR063;BFA311;Streblidae;Strebla;Strebla consocia;;Strebla consocia;15;NA;NA;15;
BFFPOP1590;BFR063;BFA311;Streblidae;Trichobius;Trichobius dugesioides;phyllostomus;Trichobius dugesioides phyllostomus;31;NA;NA;31;
BFFPOP1591;BFR063;BFA311;Streblidae;Trichobius;Trichobius longipes;;Trichobius longipes;31;NA;NA;31;
BFFPOP1592;BFR063;BFA311;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;10;NA;NA;10;
BFFPOP1593;BFR063;BFA311;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;4;NA;NA;4;
BFFPOP1594;BFR063;BFA311;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;1;NA;NA;1;
BFFPOP1595;BFR063;BFA311;Streblidae;Trichobius;Trichobius silvicolae;;Trichobius silvicolae;1;NA;NA;1;
BFFPOP1596;BFR063;BFA311;Nycteribiidae;Basilia;Basilia dunni;;Basilia dunni;2;NA;NA;2;
BFFPOP1597;BFR064;BFA312;;Penicillidia;Penicillidia dufourii;;Penicillidia dufourii;227;124;103;0;
BFFPOP1598;BFR064;BFA312;;Penicillidia;Penicillidia conspicua;;Penicillidia conspicua;138;78;60;0;
BFFPOP1599;BFR064;BFA312;Nycteribiidae;Nycteribia;Nycteribia schmidli;;Nycteribia schmidli;34;23;11;0;
BFFPOP1600;BFR064;BFA312;Nycteribiidae;Nycteribia;Nycteribia vexata;;Nycteribia vexata;24;19;5;0;
BFFPOP1601;BFR064;BFA312;Nycteribiidae;Nycteribia;Nycteribia latreillei;;Nycteribia latreillei;4;1;3;0;
BFFPOP1602;BFR064;BFA312;Nycteribiidae;Nycteribia;Nycteribia kolenatii;;Nycteribia kolenatii;1;0;1;0;
BFFPOP1603;BFR065;BFA313;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;NA;NA;NA;NA;
BFFPOP1604;BFR065;BFA313;Streblidae;Anastrebla;Anastrebla modestini;;Anastrebla modestini;NA;NA;NA;NA;
BFFPOP1605;BFR065;BFA313;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;NA;NA;NA;NA;
BFFPOP1606;BFR065;BFA313;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;NA;NA;NA;NA;
BFFPOP1607;BFR065;BFA313;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;NA;NA;NA;NA;
BFFPOP1608;BFR065;BFA313;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;NA;NA;NA;NA;
BFFPOP1609;BFR065;BFA313;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;NA;NA;NA;NA;
BFFPOP1610;BFR065;BFA313;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;NA;NA;NA;NA;
BFFPOP1611;BFR065;BFA313;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;NA;NA;NA;NA;
BFFPOP1612;BFR065;BFA313;Streblidae;Trichobius;Trichobius keenani;;Trichobius keenani;NA;NA;NA;NA;
BFFPOP1613;BFR065;BFA313;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;NA;NA;NA;NA;
BFFPOP1614;BFR065;BFA313;Streblidae;Anatrichobius;Anatrichobius scorzai;;Anatrichobius scorzai;NA;NA;NA;NA;
BFFPOP1615;BFR065;BFA313;Nycteribiidae;Basilia;Basilia sp.;;Basilia sp.;NA;NA;NA;NA;
BFFPOP1616;BFR065;BFA313;Streblidae;Paratrichobius;Paratrichobius dunni;;Paratrichobius dunni;NA;NA;NA;NA;
BFFPOP1617;BFR066;BFA314;;Cyclopodia;Cyclopodia greefi;;Cyclopodia greefi;34;15;19;0;
BFFPOP1618;BFR067;BFA315;Nycteribiidae;Nycteribia;Nycteribia allotopa ;mikado;Nycteribia allotopa mikado;6;3;3;0;
BFFPOP1619;BFR067;BFA315;Nycteribiidae;Nycteribia;Nycteribia parvula;;Nycteribia parvula;1;1;0;0;
BFFPOP1620;BFR067;BFA316;Nycteribiidae;Nycteribia;Nycteribia cf. formosana;;Nycteribia cf. formosana;4;3;1;0;
BFFPOP1621;BFR067;BFA316;Nycteribiidae;Nycteribia;Nycteribia parvula;;Nycteribia parvula;1;0;1;0;
BFFPOP1622;BFR067;BFA317;;Brachytarsina;Brachytarsina kanoi;;Brachytarsina kanoi;1;1;0;0;
BFFPOP1623;BFR067;BFA318;Nycteribiidae;Nycteribia;Nycteribia parvula;;Nycteribia parvula;1;1;0;0;
BFFPOP1624;BFR067;BFA319;Nycteribiidae;Nycteribia;Nycteribia formosana;;Nycteribia formosana;5;3;2;0;
BFFPOP1625;BFR067;BFA320;Nycteribiidae;Nycteribia;Nycteribia allotopa ;mikado;Nycteribia allotopa mikado;2;0;2;0;
BFFPOP1626;BFR067;BFA320;Nycteribiidae;Nycteribia;Nycteribia parvula;;Nycteribia parvula;1;0;1;0;
BFFPOP1627;BFR067;BFA321;Nycteribiidae;Nycteribia;Nycteribia allotopa ;mikado;Nycteribia allotopa mikado;4;2;2;0;
BFFPOP1628;BFR067;BFA321;Nycteribiidae;Nycteribia;Nycteribia parvula;;Nycteribia parvula;2;2;0;0;
BFFPOP1629;BFR067;BFA321;;Penicillidia;Penicillidia jenynsii;;Penicillidia jenynsii;2;2;0;0;
BFFPOP1630;BFR067;BFA322;;Brachytarsina;Brachytarsina kanoi;;Brachytarsina kanoi;2;0;2;0;
