FlyPopulationCode;RefCode;SiteCode;FlyFamily;FlyGenus;FlySpecies;FlySubspecies;CurrentFlySpecies;FlyCaptureNumber;FlyFemales;FlyMales;FlyUndetermined;
BFFPOP0599;BFR026;BFA163;Streblidae;Trichobius;Trichobius ca. hoffmannae;;Trichobius ca. hoffmannae;1;1;0;0;
BFFPOP0600;BFR026;BFA163;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;2;0;2;0;
BFFPOP0601;BFR026;BFA163;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;11;2;9;0;
BFFPOP0602;BFR026;BFA163;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;1;0;1;0;
BFFPOP0603;BFR026;BFA163;Streblidae;Trichobius;Trichobius sphaeronotus;;Trichobius sphaeronotus;3;1;2;0;
BFFPOP0604;BFR026;BFA164;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;1;0;1;0;
BFFPOP0605;BFR026;BFA164;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;0;1;0;
BFFPOP0606;BFR026;BFA164;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;2;1;1;0;
BFFPOP0607;BFR026;BFA164;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;3;2;1;0;
BFFPOP0608;BFR026;BFA164;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;5;1;4;0;
BFFPOP0609;BFR026;BFA164;Streblidae;Trichobius;Trichobius galei;;Trichobius galei;2;0;2;0;
BFFPOP0610;BFR026;BFA164;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;9;3;6;0;
BFFPOP0611;BFR026;BFA165;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;6;4;2;0;
BFFPOP0612;BFR026;BFA165;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;5;1;4;0;
BFFPOP0613;BFR026;BFA165;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0614;BFR026;BFA165;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;1;0;0;
BFFPOP0615;BFR026;BFA165;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
BFFPOP0616;BFR026;BFA165;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;3;0;3;0;
BFFPOP0617;BFR026;BFA165;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;5;2;3;0;
BFFPOP0618;BFR026;BFA165;Streblidae;Trichobius;Trichobius sp.;;Trichobius sp.;2;2;0;0;
BFFPOP0619;BFR026;BFA165;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;1;0;1;0;
BFFPOP0620;BFR026;BFA165;Streblidae;Trichobius;Trichobius uniformis;;Trichobius uniformis;3;1;2;0;
BFFPOP0621;BFR026;BFA165;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;10;4;6;0;
BFFPOP0622;BFR026;BFA166;Streblidae;Paratrichobius;Paratrichobius lowei;;Paratrichobius lowei;2;1;1;0;
BFFPOP0623;BFR026;BFA166;Streblidae;Speiseria;Speiseria ambigua;;Speiseria ambigua;1;0;1;0;
BFFPOP0624;BFR026;BFA166;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;2;2;0;0;
BFFPOP0625;BFR026;BFA166;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;3;0;3;0;
BFFPOP0626;BFR026;BFA166;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;2;0;2;0;
BFFPOP0627;BFR026;BFA167;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;4;1;3;0;
BFFPOP0628;BFR026;BFA167;Nycteribiidae;Basilia;Basilia ortizi;;Basilia ortizi;1;1;0;0;
BFFPOP0629;BFR026;BFA167;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;0;1;0;
BFFPOP0630;BFR026;BFA167;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;8;3;5;0;
BFFPOP0631;BFR026;BFA167;Streblidae;Strebla;Strebla chrotopteri;;Strebla chrotopteri;2;0;2;0;
BFFPOP0632;BFR026;BFA167;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
BFFPOP0633;BFR026;BFA167;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;3;1;1;1;
BFFPOP0634;BFR026;BFA167;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;4;2;2;0;
BFFPOP0635;BFR026;BFA167;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;7;2;5;0;
BFFPOP0636;BFR026;BFA167;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;8;6;2;0;
BFFPOP0637;BFR026;BFA167;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;2;2;0;0;
BFFPOP0638;BFR026;BFA168;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;2;0;2;0;
BFFPOP0639;BFR026;BFA168;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;10;4;6;0;
BFFPOP0640;BFR026;BFA169;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0641;BFR026;BFA169;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;2;1;1;0;
BFFPOP0642;BFR026;BFA169;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;1;0;
BFFPOP0643;BFR026;BFA169;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;14;2;12;0;
BFFPOP0644;BFR026;BFA169;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;2;1;1;0;
BFFPOP0645;BFR026;BFA169;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;5;3;2;0;
BFFPOP0646;BFR026;BFA169;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;4;1;3;0;
BFFPOP0647;BFR026;BFA170;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;3;2;1;0;
BFFPOP0648;BFR026;BFA170;Streblidae;Trichobius;Trichobius diphyllae;;Trichobius diphyllae;11;5;6;0;
BFFPOP0649;BFR026;BFA170;Streblidae;Trichobius;Trichobius dugesii;;Trichobius dugesii;1;1;0;0;
BFFPOP0650;BFR026;BFA171;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;4;2;2;0;
BFFPOP0651;BFR026;BFA172;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;1;0;1;0;
BFFPOP0652;BFR026;BFA172;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;1;0;1;0;
BFFPOP0653;BFR026;BFA172;Streblidae;Trichobius;Trichobius sp.;;Trichobius sp.;1;0;1;0;
BFFPOP0654;BFR026;BFA173;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;7;4;3;0;
BFFPOP0655;BFR026;BFA174;Streblidae;Mastoptera;Mastoptera minuta;;Mastoptera minuta;7;3;4;0;
BFFPOP0656;BFR026;BFA174;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;3;0;3;0;
BFFPOP0657;BFR026;BFA174;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;4;1;3;0;
BFFPOP0658;BFR026;BFA174;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;4;1;2;1;
BFFPOP0659;BFR026;BFA174;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;2;1;1;0;
BFFPOP0660;BFR026;BFA174;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;12;6;6;0;
BFFPOP0661;BFR026;BFA174;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;4;1;3;0;
BFFPOP0662;BFR026;BFA174;Streblidae;Trichobius;Trichobius yunkeri;;Trichobius yunkeri;2;1;1;0;
BFFPOP0663;BFR026;BFA175;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;5;5;0;0;
BFFPOP0664;BFR026;BFA175;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;2;2;0;0;
BFFPOP0665;BFR026;BFA176;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;8;2;6;0;
BFFPOP0666;BFR026;BFA176;Streblidae;Trichobius;Trichobius hirsutulus;;Trichobius hirsutulus;2;0;2;0;
BFFPOP0667;BFR026;BFA176;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;1;1;0;0;
BFFPOP0668;BFR026;BFA176;Streblidae;Trichobius;Trichobius johnsonae;;Trichobius johnsonae;5;3;2;0;
BFFPOP0669;BFR026;BFA177;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;1;0;0;1;
BFFPOP0670;BFR026;BFA177;Streblidae;Strebla;Strebla kohlsi;;Strebla kohlsi;1;1;0;0;
BFFPOP0671;BFR026;BFA177;Streblidae;Trichobius;Trichobius flagellatus;;Trichobius flagellatus;1;0;1;0;
BFFPOP0672;BFR026;BFA177;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;4;3;1;0;
BFFPOP0673;BFR026;BFA177;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;20;10;10;0;
BFFPOP0674;BFR026;BFA177;Streblidae;Trichobius;Trichobius sparsus;;Trichobius sparsus;7;5;2;0;
BFFPOP0675;BFR026;BFA178;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0676;BFR026;BFA178;Streblidae;Trichobius;Trichobius intermedius;;Trichobius intermedius;5;1;4;0;
BFFPOP0677;BFR026;BFA178;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;2;1;1;0;
BFFPOP0678;BFR026;BFA178;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;6;1;5;0;
BFFPOP0679;BFR026;BFA178;Streblidae;Trichobius;Trichobius sp.;;Trichobius sp.;7;2;5;0;
BFFPOP0680;BFR026;BFA179;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;5;2;3;0;
