RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR092,Trujillo-Pahua and Ibañez-Bernal,2019,Article,"Trujillo-Pahua, L., and S. Ibáñez-Bernal. 2019. New Geographical Records of Bat Flies (Diptera: Streblidae) Associated With Phyllostomid Bats (Chiroptera: Phyllostomidae) in the West Highlands of Mexico. Journal of Medical Entomology 56:18–28.",NA,"Insect Collection of Instituto de Ecología, A. C. (IEXA) Xalapa, Veracruz, Mexico",
BFR093,Trujillo-Pahua and Ibañez-Bernal,2020,Article,"Trujillo-Pahua, L., and S. Ibáñez-Bernal. 2020. Bat flies (Diptera: Streblidae) of phyllostomid bats (Chiroptera: Phyllostomidae) from the mountainous central region of Veracruz, Mexico. Systematic Parasitology 97:743–777.",NA,NA,
BFR094,Urbieta et al.,2021,Article,"Urbieta, G. L., G. Graciolli, and J. Vizentin-Bugoni. 2021. Modularity and specialization in bat–fly interaction networks are remarkably consistent across patches within urbanized landscapes and spatial scales. Current Zoology 67:403–410.",NA,Zoological Reference Collection of the Federal University of Mato Grosso do Sul (ZUFMS) in Campo Grande,"Urbieta, G. L., J. M. Torres, E. A. C. Dos Anjos, C. M. E. Carvalho, and G. Graciolli. 2019. Parasitism of Bat Flies (Nycteribiidae and Streblidae) on Bats in Urban Environments: Lower Prevalence, Infracommunities, and Specificity. Acta Chiropterologica 20:511."
BFR095,Vidal et al.,2021,Article,"Vidal, L. L. L., L. F. O. Bernardi, and S. A. Talamoni. 2021. Host-parasite associations in a population of the nectarivorous bat Anoura geoffroyi (Phyllostomidae) in a cave in a Brazilian ferruginous geosystem. Subterranean Biology 39:63–77.",NA,NA,
BFR096,Vieira et al.,2019,Article,"Vieira, E. G. M., E. Fischer, G. Graciolli, C. Ferreira Santos, G. Camargo, M. Silveira, and A. Eriksson. 2019. Bat flies aggregation on Artibeus planirostris hosts in the Pantanal floodplain and surrounding plateaus. Parasitology 146:1462–1466.",Universidade Federal de Mato Grosso do Sul (ZUFMS),Universidade Federal de Mato Grosso do Sul (ZUFMS),
BFR097,Villegas-Guzma et al.,2005,Article,"Villegas-Guzman, G. A., C. López-González, and M. Vargas. 2005. Ectoparasites Associated to Two Species of Corynorhinus (Chiroptera: Vespertilionidae) from the Guanaceví Mining Region, Durango, Mexico. Journal of Medical Entomology 42:125–127.","mammal collection, Centro Interdisciplinario de Investigación para el desarrollo Integral Regional Instituto Politécnico Nacional Unidad Durango","collection of arthropods associated to mammals at Escuela Nacional de Ciencias Biologicas, Instituto Politecnico  Nacional, Mexico City.",
BFR098,Voigt and Kelm,2006,Article,"Voigt, C. C., and D. H. Kelm. 2006. Host preferences of bat flies: following the bloody path of stable isotopes in a host–parasite food chain. Canadian Journal of Zoology 84:397–403.",NA,NA,
BFR099,Walker et al.,2018,Article,"Walker, M. J., A. Dorrestein, J. J. Camacho, L. A. Meckler, K. A. Silas, T. Hiller, and D. Haelewaters. 2018. A tripartite survey of hyperparasitic fungi associated with ectoparasitic flies on bats (Mammalia: Chiroptera) in a neotropical cloud forest in Panama. Parasite 25:19.",NA,"Museo de Peces de Agua e Invertebrados, David, Panamá (MUPADI) and Naturalis Biodiversity Center, Leiden, The Netherlands (RMNH).",
BFR100,Zamora-Mejías et al.,2020,Article,"Zamora-Mejías, D., J. B. Morales-Malacara, B. Rodríguez-Herrera, M. Ojeda, and R. A. Medellín. 2020. Does latitudinal migration represent an advantage in the decrease of ectoparasitic loads in Leptonycteris yerbabuenae (Chiroptera)? Journal of Mammalogy 101:979–989.",NA,"Morales-Malacara Collection housed in the Laboratory of Speleobiology and Acarology, Faculty of Science, National Autonomous University of Mexico, Juriquilla Campus, Queretaro, Mexico",
BFR101,Zarazúa-Carbajal et al.,2016,Article,"Zarazúa-Carbajal, M., R. A. Saldaña-Vázquez, C. A. Sandoval-Ruiz, K. E. Stoner, and J. Benitez-Malvido. 2016. The specificity of host-bat fly interaction networks across vegetation and seasonal variation. Parasitology Research 115:4037–4044.",NA,NA,
BFR102,Hoyos et al.,2022,Unpublishe data,"Hoyos, J., Montoya-Bustamante, S., Zapata-Mesa, N. Records of bat flies from a Colombian tropical rainforest","Colección de Mamíferos de la Universidad del Valle (UV), Colombia.",NA,
BFR103,Peña et al.,2022,Unpublishe data,"Peña, D., Montoya-Bustamante, S., Galindo-González, J. Records of bat flies from a Mexican tropical montane cloud forest",NA,NA,
BFR104,Chacón-Pacheco et al.,2022,Unpublishe data,"Chacón-Pacheco, J., Ballesteros-Correa, J., Pastrana-Montiel, M. R. Records of baf flies from Caribbean colombian",NA,NA,"Pastrana-Montiel, M. R., Ballesteros-Correa, J., & Chacón-Pacheco, J. (2019). First record of the parasite bat fly Basilia mimoni Theodor & Peterson, 1964 (Diptera: Nycteribiidae) in Colombia. Oecologia Australis, 23(3)."
