InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI0087,BFBPOP0067,BFFPOP0082,BFR004,BFA032,Phyllostomus discolor,NA,Strebla hertigi,NA,11,8,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0088,BFBPOP0068,BFFPOP0083,BFR004,BFA032,Noctilio albiventris,NA,Paradyschiria parvula,NA,15,4,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0089,BFBPOP0069,BFFPOP0084,BFR004,BFA033,Phyllostomus elongatus,NA,Strebla consocia,NA,4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0090,BFBPOP0070,BFFPOP0084,BFR004,BFA033,Phyllostomus hastatus,NA,Strebla consocia,NA,5,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0091,BFBPOP0071,BFFPOP0085,BFR004,BFA033,Tonatia saurophila,NA,Strebla galindoi,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0092,BFBPOP0072,BFFPOP0086,BFR004,BFA033,Carollia perspicillata,NA,Strebla guajiro,NA,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0093,BFBPOP0073,BFFPOP0087,BFR004,BFA033,Sturnira lilium,NA,Aspidoptera falcata,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0094,BFBPOP0074,BFFPOP0088,BFR004,BFA033,Sturnira tildae,NA,Megistopoda proxima,NA,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0095,BFBPOP0075,BFFPOP0089,BFR004,BFA033,Dermanura gnoma,NA,Neotrichobius delicatus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0096,BFBPOP0076,BFFPOP0090,BFR004,BFA034,Platyrrhinus brachycephalus,NA,Megistopoda aranea,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0097,BFBPOP0076,BFFPOP0091,BFR004,BFA034,Platyrrhinus brachycephalus,NA,Paratrichobius dunni,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0098,BFBPOP0077,BFFPOP0092,BFR004,BFA035,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0099,BFBPOP0078,BFFPOP0093,BFR004,BFA036,Artibeus lituratus,NA,Paratrichobius longicrus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0100,BFBPOP0079,BFFPOP0094,BFR004,BFA037,Phyllostomus hastatus,NA,Strebla consocia,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0101,BFBPOP0080,BFFPOP0095,BFR004,BFA037,Sturnira sp.,NA,Megistopoda proxima,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0102,BFBPOP0081,BFFPOP0096,BFR004,BFA037,Dermanura anderseni,NA,Neotrichobius delicatus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0103,BFBPOP0082,BFFPOP0097,BFR004,BFA038,Artibeus planirostris,NA,Aspidoptera phyllostomatis,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0104,BFBPOP0083,BFFPOP0098,BFR004,BFA039,Carollia brevicauda,NA,Strebla curvata,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0105,BFBPOP0084,BFFPOP0099,BFR004,BFA039,Sturnira lilium,NA,Aspidoptera falcata,NA,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0106,BFBPOP0085,BFFPOP0099,BFR004,BFA039,Sturnira sp.,NA,Aspidoptera falcata,NA,9,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
