InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI2213,BFBPOP1184,BFFPOP1688,BFR068,BFA265,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,13,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2214,BFBPOP1188,BFFPOP1689,BFR068,BFA265,Carollia perspicillata,NA,Trichobius angulatus,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2215,BFBPOP1175,BFFPOP1690,BFR068,BFA265,Lophostoma carrikeri,NA,Trichobius caecus,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2216,BFBPOP1188,BFFPOP1690,BFR068,BFA265,Carollia perspicillata,NA,Trichobius caecus,NA,34,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2217,BFBPOP1174,BFFPOP1690,BFR068,BFA265,Tonatia bidens,NA,Trichobius caecus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2218,BFBPOP1180,BFFPOP1690,BFR068,BFA265,Pteronotus sp.,NA,Trichobius caecus,NA,30,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2219,BFBPOP1181,BFFPOP1691,BFR068,BFA265,Glossophaga soricina,NA,Trichobius uniformis,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2220,BFBPOP1188,BFFPOP1692,BFR068,BFA265,Carollia perspicillata,NA,Trichobius costalimai,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2221,BFBPOP1184,BFFPOP1692,BFR068,BFA265,Phyllostomus discolor,NA,Trichobius costalimai,NA,20,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2222,BFBPOP1176,BFFPOP1692,BFR068,BFA265,Phyllostomus hastatus,NA,Trichobius costalimai,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2223,BFBPOP1188,BFFPOP1693,BFR068,BFA265,Carollia perspicillata,NA,Trichobius dugesioides,dugesioides,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2224,BFBPOP1176,BFFPOP1693,BFR068,BFA265,Phyllostomus hastatus,NA,Trichobius dugesioides,dugesioides,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2225,BFBPOP1185,BFFPOP1693,BFR068,BFA265,Uroderma bilobatum,NA,Trichobius dugesioides,dugesioides,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2226,BFBPOP1188,BFFPOP1694,BFR068,BFA265,Carollia perspicillata,NA,Trichobius handleyi,NA,28,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2227,BFBPOP1188,BFFPOP1695,BFR068,BFA265,Carollia perspicillata,NA,Trichobius joblingi,NA,284,0,0,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2228,BFBPOP1186,BFFPOP1695,BFR068,BFA265,Lonchorhina aurita,NA,Trichobius joblingi,NA,15,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2229,BFBPOP1184,BFFPOP1695,BFR068,BFA265,Phyllostomus discolor,NA,Trichobius joblingi,NA,11,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2230,BFBPOP1176,BFFPOP1695,BFR068,BFA265,Phyllostomus hastatus,NA,Trichobius joblingi,NA,9,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2231,BFBPOP1187,BFFPOP1695,BFR068,BFA265,Uroderma magnirostrus,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2232,BFBPOP1181,BFFPOP1695,BFR068,BFA265,Glossophaga soricina,NA,Trichobius joblingi,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2233,BFBPOP1173,BFFPOP1695,BFR068,BFA265,Sturnira lilium,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2234,BFBPOP1174,BFFPOP1695,BFR068,BFA265,Tonatia bidens,NA,Trichobius joblingi,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2235,BFBPOP1188,BFFPOP1696,BFR068,BFA265,Carollia perspicillata,NA,Trichobius johnsonae,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2236,BFBPOP1175,BFFPOP1696,BFR068,BFA265,Lophostoma carrikeri,NA,Trichobius johnsonae,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2237,BFBPOP1181,BFFPOP1697,BFR068,BFA265,Glossophaga soricina,NA,Trichobius lonchophyllae,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2238,BFBPOP1176,BFFPOP1697,BFR068,BFA265,Phyllostomus hastatus,NA,Trichobius lonchophyllae,NA,9,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2239,BFBPOP1188,BFFPOP1698,BFR068,BFA265,Carollia perspicillata,NA,Trichobius longipes,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2240,BFBPOP1183,BFFPOP1699,BFR068,BFA265,Desmodus rotundus,NA,Trichobius parasiticus,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2241,BFBPOP1188,BFFPOP1700,BFR068,BFA265,Carollia perspicillata,NA,Trichobius silvicolae,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2242,BFBPOP1188,BFFPOP1701,BFR068,BFA265,Carollia perspicillata,NA,Trichobius tiptoni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2243,BFBPOP1189,BFFPOP1702,BFR068,BFA265,Dermanura cinerea,NA,Trichobius sp.,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2244,BFBPOP1188,BFFPOP1702,BFR068,BFA265,Carollia perspicillata,NA,Trichobius sp.,NA,22,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2245,BFBPOP1176,BFFPOP1702,BFR068,BFA265,Phyllostomus hastatus,NA,Trichobius sp.,NA,10,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2246,BFBPOP1188,BFFPOP1703,BFR068,BFA265,Carollia perspicillata,NA,Trichobius cf. dugesii,NA,31,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2247,BFBPOP1188,BFFPOP1704,BFR068,BFA265,Carollia perspicillata,NA,Trichobius cf. uniformis,NA,43,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2248,BFBPOP1190,BFFPOP1705,BFR069,BFA266,Micronycteris microtis,NA,Trichobius tiptoni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2249,BFBPOP1191,BFFPOP1706,BFR069,BFA266,Desmodus rotundus,NA,Trichobius parasiticus,NA,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2250,BFBPOP1191,BFFPOP1707,BFR069,BFA266,Desmodus rotundus,NA,Strebla wiedemanni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2251,BFBPOP1192,BFFPOP1708,BFR069,BFA266,Gardnerycteris crenulatum,NA,Basilia mimoni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2252,BFBPOP1193,BFFPOP1709,BFR069,BFA266,Phyllostomus discolor,NA,Trichobius costalimai,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2253,BFBPOP1193,BFFPOP1710,BFR069,BFA266,Phyllostomus discolor,NA,Strebla hertigi,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2254,BFBPOP1193,BFFPOP1711,BFR069,BFA266,Phyllostomus discolor,NA,Trichobioides perspicillatus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2255,BFBPOP1194,BFFPOP1705,BFR069,BFA266,Anoura caudifer,NA,Trichobius tiptoni,NA,10,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2256,BFBPOP1194,BFFPOP1712,BFR069,BFA266,Anoura caudifer,NA,Anastrebla caudiferae,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2257,BFBPOP1194,BFFPOP1713,BFR069,BFA266,Anoura caudifer,NA,Strebla carvalhoi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2258,BFBPOP1194,BFFPOP1714,BFR069,BFA266,Anoura caudifer,NA,Aspidoptera phyllostomatis,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2259,BFBPOP1195,BFFPOP1715,BFR069,BFA266,Anoura geoffroyi,NA,Exastinion clovisi,NA,12,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2260,BFBPOP1195,BFFPOP1716,BFR069,BFA266,Anoura geoffroyi,NA,Anastrebla modestini,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2261,BFBPOP1195,BFFPOP1717,BFR069,BFA266,Anoura geoffroyi,NA,Trichobius propinquus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2262,BFBPOP1196,BFFPOP1718,BFR069,BFA266,Glossophaga soricina,NA,Trichobius uniformis,NA,27,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2263,BFBPOP1196,BFFPOP1719,BFR069,BFA266,Glossophaga soricina,NA,Paratrichobius longicrus,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2264,BFBPOP1196,BFFPOP1720,BFR069,BFA266,Glossophaga soricina,NA,Strebla curvata,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2265,BFBPOP1196,BFFPOP1721,BFR069,BFA266,Glossophaga soricina,NA,Aspidoptera falcata,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2266,BFBPOP1196,BFFPOP1722,BFR069,BFA266,Glossophaga soricina,NA,Trichobius dugesii,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2267,BFBPOP1196,BFFPOP1723,BFR069,BFA266,Glossophaga soricina,NA,Trichobius johnsonae,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2268,BFBPOP1197,BFFPOP1724,BFR069,BFA266,Lonchophylla dekeyseri,NA,Trichobius lonchophyllae,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2269,BFBPOP1198,BFFPOP1725,BFR069,BFA266,Carollia perspicillata,NA,Trichobius joblingi,NA,155,0,0,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2270,BFBPOP1198,BFFPOP1726,BFR069,BFA266,Carollia perspicillata,NA,Strebla guajiro,NA,19,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2271,BFBPOP1198,BFFPOP1719,BFR069,BFA266,Carollia perspicillata,NA,Paratrichobius longicrus,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2272,BFBPOP1198,BFFPOP1727,BFR069,BFA266,Carollia perspicillata,NA,Speiseria ambigua,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2273,BFBPOP1198,BFFPOP1728,BFR069,BFA266,Carollia perspicillata,NA,Trichobius sp.,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2274,BFBPOP1198,BFFPOP1705,BFR069,BFA266,Carollia perspicillata,NA,Trichobius tiptoni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2275,BFBPOP1199,BFFPOP1729,BFR069,BFA266,Dermanura cinerea,NA,Neotrichobius delicatus,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2276,BFBPOP1199,BFFPOP1719,BFR069,BFA266,Dermanura cinerea,NA,Paratrichobius longicrus,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2277,BFBPOP1199,BFFPOP1721,BFR069,BFA266,Dermanura cinerea,NA,Aspidoptera falcata,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2278,BFBPOP1199,BFFPOP1725,BFR069,BFA266,Dermanura cinerea,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2279,BFBPOP1200,BFFPOP1719,BFR069,BFA266,Artibeus fimbriatus,NA,Paratrichobius longicrus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2280,BFBPOP1201,BFFPOP1719,BFR069,BFA266,Artibeus lituratus,NA,Paratrichobius longicrus,NA,144,0,0,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2281,BFBPOP1201,BFFPOP1721,BFR069,BFA266,Artibeus lituratus,NA,Aspidoptera falcata,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2282,BFBPOP1201,BFFPOP1730,BFR069,BFA266,Artibeus lituratus,NA,Trichobius angulatus,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2283,BFBPOP1201,BFFPOP1731,BFR069,BFA266,Artibeus lituratus,NA,Megistopoda proxima,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2284,BFBPOP1201,BFFPOP1709,BFR069,BFA266,Artibeus lituratus,NA,Trichobius costalimai,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2285,BFBPOP1201,BFFPOP1711,BFR069,BFA266,Artibeus lituratus,NA,Trichobioides perspicillatus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2286,BFBPOP1202,BFFPOP1732,BFR069,BFA266,Artibeus planirostris,NA,Megistopoda aranea,NA,26,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2287,BFBPOP1202,BFFPOP1714,BFR069,BFA266,Artibeus planirostris,NA,Aspidoptera phyllostomatis,NA,13,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2288,BFBPOP1202,BFFPOP1719,BFR069,BFA266,Artibeus planirostris,NA,Paratrichobius longicrus,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2289,BFBPOP1202,BFFPOP1725,BFR069,BFA266,Artibeus planirostris,NA,Trichobius joblingi,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2290,BFBPOP1202,BFFPOP1721,BFR069,BFA266,Artibeus planirostris,NA,Aspidoptera falcata,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2291,BFBPOP1203,BFFPOP1719,BFR069,BFA266,Platyrrhinus lineatus,NA,Paratrichobius longicrus,NA,33,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2292,BFBPOP1203,BFFPOP1730,BFR069,BFA266,Platyrrhinus lineatus,NA,Trichobius angulatus,NA,18,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2293,BFBPOP1204,BFFPOP1731,BFR069,BFA266,Sturnira lilium,NA,Megistopoda proxima,NA,80,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2294,BFBPOP1204,BFFPOP1721,BFR069,BFA266,Sturnira lilium,NA,Aspidoptera falcata,NA,65,0,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2295,BFBPOP1204,BFFPOP1713,BFR069,BFA266,Sturnira lilium,NA,Strebla carvalhoi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2296,BFBPOP1204,BFFPOP1725,BFR069,BFA266,Sturnira lilium,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2297,BFBPOP1205,BFFPOP1731,BFR069,BFA266,Sturnira tildae,NA,Megistopoda proxima,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2298,BFBPOP1205,BFFPOP1721,BFR069,BFA266,Sturnira tildae,NA,Aspidoptera falcata,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2299,BFBPOP1205,BFFPOP1725,BFR069,BFA266,Sturnira tildae,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2300,BFBPOP1206,BFFPOP1723,BFR069,BFA266,Pteronotus rubiginosus,NA,Trichobius johnsonae,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2301,BFBPOP1206,BFFPOP1733,BFR069,BFA266,Pteronotus rubiginosus,NA,Nycterophilia parnelli,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2302,BFBPOP1207,BFFPOP1719,BFR069,BFA266,Molossops temminckii,NA,Paratrichobius longicrus,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2303,BFBPOP1208,BFFPOP1725,BFR069,BFA266,Lasiurus blossevillii,NA,Trichobius joblingi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2304,BFBPOP1209,BFFPOP1734,BFR069,BFA266,Myotis nigricans,NA,Basilia anceps,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2305,BFBPOP1209,BFFPOP1735,BFR069,BFA266,Myotis nigricans,NA,Basilia hughscotti,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2306,BFBPOP1210,BFFPOP1734,BFR069,BFA266,Myotis sp.,NA,Basilia anceps,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2307,BFBPOP1210,BFFPOP1735,BFR069,BFA266,Myotis sp.,NA,Basilia hughscotti,NA,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2308,BFBPOP1210,BFFPOP1736,BFR069,BFA266,Myotis sp.,NA,Basilia plaumanni,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2309,BFBPOP1210,BFFPOP1737,BFR069,BFA266,Myotis sp.,NA,Basilia sp.,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2310,BFBPOP1211,BFFPOP1738,BFR070,BFA267,Artibeus jamaicensis,NA,Megistopoda aranea,NA,19,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2311,BFBPOP1211,BFFPOP1739,BFR070,BFA267,Artibeus jamaicensis,NA,Trichobius intermedius,NA,29,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2312,BFBPOP1212,BFFPOP1740,BFR070,BFA267,Brachyphylla cavernarum,NA,Nycterophilia bilineata,NA,20,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2313,BFBPOP1212,BFFPOP1741,BFR070,BFA267,Brachyphylla cavernarum,NA,Trichobius frequens,NA,50,0,0,50,NA,NA,NA,NA,NA,NA,1.58,NA,NA,0.4700,NA,NA,NA
BFSSI2314,BFBPOP1213,BFFPOP1742,BFR071,BFA268,Artibeus fimbriatus,NA,Megistopoda aranea,NA,19,0,0,19,NA,NA,NA,30.00,NA,NA,3,NA,NA,0.1200,NA,NA,NA
BFSSI2315,BFBPOP1214,BFFPOP1742,BFR071,BFA268,Artibeus lituratus,NA,Megistopoda aranea,NA,18,0,0,18,NA,NA,NA,3.95,NA,NA,1.5,NA,NA,0.3500,NA,NA,NA
BFSSI2316,BFBPOP1214,BFFPOP1743,BFR071,BFA268,Artibeus lituratus,NA,Paratrichobius longicrus,NA,54,0,0,54,NA,NA,NA,23.68,NA,NA,1,NA,NA,0.6700,NA,NA,NA
BFSSI2317,BFBPOP1215,BFFPOP1742,BFR071,BFA268,Artibeus planirostris,NA,Megistopoda aranea,NA,2,0,0,2,NA,NA,NA,66.67,NA,NA,2,NA,NA,0.6700,NA,NA,NA
BFSSI2318,BFBPOP1215,BFFPOP1744,BFR071,BFA268,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,2,0,0,2,NA,NA,NA,33.33,NA,NA,1,NA,NA,0.0600,NA,NA,NA
BFSSI2319,BFBPOP1216,BFFPOP1745,BFR071,BFA268,Carollia perspicillata,NA,Strebla guajiro,NA,1,0,0,1,NA,NA,NA,5.56,NA,NA,1.83,NA,NA,0.6100,NA,NA,NA
BFSSI2320,BFBPOP1216,BFFPOP1746,BFR071,BFA268,Carollia perspicillata,NA,Trichobius joblingi,NA,11,0,0,11,NA,NA,NA,33.33,NA,NA,1.5,NA,NA,0.5300,NA,NA,NA
BFSSI2321,BFBPOP1217,BFFPOP1747,BFR071,BFA268,Phyllostomus hastatus,NA,Trichobius longipes,NA,9,0,0,9,NA,NA,NA,35.29,NA,NA,1.74,NA,NA,0.5400,NA,NA,NA
BFSSI2322,BFBPOP1218,BFFPOP1748,BFR071,BFA268,Sturnira lilium,NA,Aspidoptera falcata,NA,68,0,0,68,NA,NA,NA,30.95,NA,NA,1.91,NA,NA,0.8300,NA,NA,NA
BFSSI2323,BFBPOP1218,BFFPOP1749,BFR071,BFA268,Sturnira lilium,NA,Megistopoda proxima,NA,105,0,0,105,NA,NA,NA,43.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2324,BFBPOP1219,BFFPOP1750,BFR072,BFA269,Mormoops megalophylla,NA,Trichobius leionotus,NA,3,0,0,3,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2325,BFBPOP1220,BFFPOP1751,BFR072,BFA269,Antrozous pallidus,NA,Basilia antrozoi,NA,41,0,0,41,NA,NA,NA,57.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2326,BFBPOP1220,BFFPOP1752,BFR072,BFA269,Antrozous pallidus,NA,Trichobius corynorhini,NA,1,0,0,1,NA,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2327,BFBPOP1221,BFFPOP1752,BFR072,BFA269,Corynorhinus townsendii,NA,Trichobius corynorhini,NA,1,0,0,1,NA,NA,NA,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2328,BFBPOP1222,BFFPOP1753,BFR072,BFA269,Myotis velifer,NA,Basilia forcipata,NA,3,0,0,3,NA,NA,NA,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2329,BFBPOP1222,BFFPOP1754,BFR072,BFA269,Myotis velifer,NA,Trichobius major,NA,1,0,0,1,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2330,BFBPOP1223,BFFPOP1755,BFR072,BFA269,Myotis yumanensis,NA,Basilia rondanii,NA,2,0,0,2,NA,NA,NA,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2331,BFBPOP1224,BFFPOP1756,BFR073,BFA270,Anoura geoffroyi,NA,Anastrebla modestini,NA,59,0,0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2332,BFBPOP1224,BFFPOP1757,BFR073,BFA270,Anoura geoffroyi,NA,Exastinion clovisi,NA,329,0,0,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2333,BFBPOP1225,BFFPOP1758,BFR073,BFA270,Leptonycteris nivalis,NA,Trichobius sphaeronotus,NA,54,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2334,BFBPOP1226,BFFPOP1756,BFR073,BFA270,Leptonycteris yerbabuenae,NA,Anastrebla modestini,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2335,BFBPOP1226,BFFPOP1757,BFR073,BFA270,Leptonycteris yerbabuenae,NA,Exastinion clovisi,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI2336,BFBPOP1226,BFFPOP1759,BFR073,BFA270,Leptonycteris yerbabuenae,NA,Nycterophilia natali,NA,80,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
