RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR119,Claps et al.,2000,Article,"Claps, G. L., A. G. Autino, and R. M. Barquez. 2000. Nuevos registros de Streblidae (Diptera) para la Argentina. Acta Zoológica Mexicana 80:241–243.",Colección Mamíferos Lillo (CML),"Colección de Anexos (ACML), de la Universidad Nacional de Tucumán y Fundación Miguel Lillo.",NA
BFR120,Coimbra et al.,1984,Article,"Coimbra Jr., C. E. A., L. R. Guimarães, and D. A. Mello. 1984. Ocorrência de Streblidae (Diptera: Pupipara) em morcegos capturados em regiões de Cerrado do Brasil Central. Revista Brasileira de Entomologia 28:547–550.",Museo de Zoologia da Universidade de São Paulo e Departamento de Biologia especial da Universidade Federal de Pernambuco,NA,NA
BFR121,Curran ,1935,Article,"Curran, C. H. 1935. New species of Nycteribiidae and Streblidae (Diptera). Page American Museum Novitates. The American Museum of Natural History, New York, NY.",NA,NA,NA
BFR122,Silva et al.,2019,Article,"Silva, S. S. P. da, P. G. Guedes, J. C. de Almeida, and A. P. Cruz. 2019. Bionomics and biology of bats (Mammalia - Chiroptera) in an Atlantic forest remnant: Parque Estadual da Pedra Branca (Rio de Janeiro, Brazil). Natureza online 17:1–15.","Adriano Lúcio Peracchi collection (ALP), currently housed in the Institute of Biology of the Federal Rural University of Rio de Janeiro (Seropédica, Rio de Janeiro, Brazil)","Acarological Collection in Oswaldo Cruz Institute, Fiocruz (Rio de Janeiro, Brazil)",NA
BFR123,Silva et al.,2021,Article,"Silva, S. S., P. Gonçalves Guedes, F. Silva Severino, and J. Cardoso Almeida. 2021. Biology and parasites of Pteronotus gymnonotus from the Caatinga shrublands of Ceará (Brazil). Therya 12:131–137.","Adriano Lúcio Peracchi collection (ALP), currently housed in the Institute of Biology of the Federal Rural University of Rio de Janeiro (Seropédica, Rio de Janeiro, Brazil)","Acarological Collection in Oswaldo Cruz Institute, Fiocruz (Rio de Janeiro, Brazil)",NA
BFR124,Dias et al.,1942,Book,"Dias, E., G. B. Mello, O. Costa, R. G. Damasceno, and M. Azevedo. 1942. Investigações sôbre esquisotripanose de morcegos no Estado do Pará: Encontro do barbeiro Cavernicola pilosa como transmissor. Revista Brasileira de Biologia 2:103–110.",NA,NA,NA
BFR125,Dick & Wenzel,2006,Article,"Dick, C. W., and R. L. Wenzel. 2006. A new genus and species of trichobiine bat flies (Diptera: Hippoboscoidea: Streblidae) from Costa Rica. Insect Systematics and Evolution 37:433–442.","Carnegie Museum of Natural Phyladelphia Pennsylvania USA (CM), University of Kansas Natural History Museum, USA (KU), Los Angeles County Museum of Natural History, Los Angeles, Californis (LACM), Museo Nacional de Costa Rica, San José, costa Rica (MNCR), and United States National Museum of Natural History, Washintong, D.C., USA (USNM)","Carnegie Museum of Natural Phyladelphia Pennsylvania USA (CM),  Universidade de São Paulo, São Paulo, Brazil (MZUSP), Field Museum of Natural History, Chicago, Illinois (FMNH), Los Angeles County Museum of Natural History, Los Angeles, Californis (LACM), Museo Nacional de Costa Rica, San José, costa Rica (MNCR), and United States National Museum of Natural History, Washintong, D.C., USA (USNM)",NA
BFR126,Dick ,2013,Article,"Dick, C. W. 2013. Review of the Bat Flies of Honduras, Central America (Diptera: Streblidae). Journal of Parasitology Research 2013:1–17.",NA,NA,NA
BFR127,Dick et al ,2007,Article,"Dick, C. W., D. Gettinger, and S. L. Gardner. 2007. Bolivian ectoparasites: A survey of bats (Mammalia Chiroptera). Comparative Parasitology 74:372–377.",NA,"Harold W. Manter Laboratory of Parasitology, University of Nebraska–Lincoln, NE (HWML) and Field Museum of Natural History, Chicago, IL (FMNH).",NA
BFR128,Fox & Stabler,1953,Article,"Fox, R. M., and R. M. Stabler. 1953. Basilia calverti n. sp. (Diptera: Nycteribiidae) from the Interior Long-legged Bat. The Journal of Parasitology 39:22–27.",NA,NA,NA
