assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
21976309,136495,Myotis nipalensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,nipalensis,,,,"(Dobson, 1871)",Least Concern,,3.1,Unknown,Global
21976681,17598,Corynorhinus townsendii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Corynorhinus,townsendii,,,,"Cooper, 1837",Least Concern,,3.1,Stable,Global
21976792,17599,Corynorhinus mexicanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Corynorhinus,mexicanus,,,,"G.M. Allen, 1916",Near Threatened,A2ac,3.1,Decreasing,Global
21976905,17600,Corynorhinus rafinesquii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Corynorhinus,rafinesquii,,,,"(Lesson, 1827)",Least Concern,,3.1,Increasing,Global
21977021,13139,Melonycteris melanops,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Melonycteris,melanops,,,,"Dobson, 1877",Least Concern,,3.1,Stable,Global
21977086,19548,Rhinolophus luctus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,luctus,,,,"Temminck, 1834",Least Concern,,3.1,Unknown,Global
21977332,13140,Melonycteris woodfordi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Melonycteris,woodfordi,,,,"Thomas, 1887",Least Concern,,3.1,Unknown,Global
21977419,19547,Rhinolophus lepidus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,lepidus,,,,"Blyth, 1844",Least Concern,,3.1,Unknown,Global
21977630,136541,Aethalops aequalis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Aethalops,aequalis,,,,"G.M. Allen, 1938",Least Concern,,3.1,Unknown,Global
21977797,19546,Rhinolophus landeri,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,landeri,,,,"Martin, 1838",Least Concern,,3.1,Unknown,Global
21978063,19545,Rhinolophus inops,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,inops,,,,"Andersen, 1905",Least Concern,,3.1,Stable,Global
21978172,17601,Plecotus taivanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,taivanus,,,,"Yoshiyuki, 1991",Near Threatened,B1b(v),3.1,Decreasing,Global
21978274,19552,Rhinolophus marshalli,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,marshalli,,,,"Thonglongya, 1973",Least Concern,,3.1,Unknown,Global
21978424,19551,Rhinolophus malayanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,malayanus,,,,"Bonhote, 1903",Least Concern,,3.1,Stable,Global
21978583,19550,Rhinolophus macrotis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,macrotis,,,,"Blyth, 1844",Least Concern,,3.1,Stable,Global
21978862,13141,Melonycteris fardoulisi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Melonycteris,fardoulisi,,,,"Flannery, 1993",Near Threatened,A2a,3.1,Decreasing,Global
21978925,19549,Rhinolophus maclaudi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,maclaudi,,,,"Pousargues, 1897",Endangered,B2ab(iii),3.1,Decreasing,Global
21979045,6510,Desmodus rotundus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Desmodus,rotundus,,,,"(É. Geoffroy, 1810)",Least Concern,,3.1,Stable,Global
21979320,19539,Rhinolophus eloquens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,eloquens,,,,"K. Andersen, 1905",Least Concern,,3.1,Unknown,Global
21979433,19538,Rhinolophus denti,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,denti,,,,"Thomas, 1904",Least Concern,,3.1,Unknown,Global
21979537,19537,Rhinolophus deckenii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,deckenii,,,,"Peters, 1868",Near Threatened,A4c,3.1,Decreasing,Global
21979633,136534,Styloctenium mindorensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Styloctenium,mindorensis,,,,"Esselstyn, 2007",Endangered,"B1ab(i,iii,v)",3.1,Decreasing,Global
21979719,136531,Pteropus ualanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteropus,ualanus,,,,"Peters, 1883",Endangered,B1ab(iii),3.1,Stable,Global
21979893,64586080,Rhinolophus hildebrandtii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,hildebrandtii,,,,"Peters, 1878",Least Concern,,3.1,Unknown,Global
21980043,19542,Rhinolophus guineensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,guineensis,,,,"Eisentraut, 1960",Endangered,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
21980197,19541,Rhinolophus fumigatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,fumigatus,,,,"Rüppell, 1842",Least Concern,,3.1,Unknown,Global
21980435,136528,Pteropus keyensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteropus,keyensis,,,,"Peters, 1867",Data Deficient,,3.1,Unknown,Global
