SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA173,BFR044,2003,2003,1,NA,Single,Single,NA,NA,NA,NA,NA,NA,NA
BFA100,BFR044,2000,2003,1,NA,Single,Single,NA,NA,NA,NA,NA,NA,NA
BFA174,BFR044,1989,1989,1,NA,Single,Single,NA,NA,NA,NA,NA,NA,NA
BFA175,BFR045,1992,1992,1,NA,Single,Single,mist nets,NA,NA,NA,NA,NA,NA
BFA176,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA177,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA178,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA179,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA180,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA181,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA182,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA183,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA184,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA185,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA186,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA187,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA188,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA189,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA190,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA191,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA192,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA193,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA194,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA195,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA196,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA197,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA198,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA199,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA200,BFR046,1990,2013,NA,NA,Single,Single,"mist nets, harp trap",NA,NA,NA,U,NA,NA
BFA201,BFR047,1999,2001,NA,NA,leafnosed,all,NA,NA,NA,NA,NA,NA,NA
BFA202,BFR048,2000,2001,11,NA,all,all,mist nets,60,4,NA,NA,NA,NA
BFA203,BFR049,1996,1998,NA,NA,Single,all,NA,NA,NA,NA,NA,NA,NA
BFA204,BFR050,2011,2012,8,NA,leafnosed,all,"mist nets, harp trap",NA,NA,NA,NA,NA,NA
BFA204,BFR050,2012,2012,4,NA,leafnosed,all,mist nets,NA,NA,NA,NA,NA,NA
BFA205,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA206,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA207,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA208,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA209,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA210,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA211,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA212,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA213,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
BFA214,BFR051,NA,NA,NA,215654.4,all,all,mist nets,8,6,6,U,NA,NA
